,rationality,rank,switch_random,Run,Strat_Cooperate,Strat_Defect,Strat_TFT,Strat_Random,Strat_WSLS,Cooperators,Defectors
181,0.9267578125,0.3466796875,0.07861328125,181.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
182,0.9267578125,0.5302734375,0.38427734375,182.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
183,0.9267578125,0.5302734375,0.07861328125,183.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
184,0.4697265625,0.8466796875,0.13427734375,184.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
185,0.4267578125,0.8466796875,0.13427734375,185.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
186,0.4697265625,0.0302734375,0.13427734375,186.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
187,0.4697265625,0.8466796875,0.32861328125,187.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
188,0.4697265625,0.0302734375,0.32861328125,188.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
189,0.4267578125,0.8466796875,0.32861328125,189.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
190,0.4267578125,0.0302734375,0.13427734375,190.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
191,0.4267578125,0.0302734375,0.32861328125,191.0,9231.0,11869.0,86.0,348.0,219.0,231.0,171.0
192,0.3447265625,0.4716796875,0.07177734375,192.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
193,0.3017578125,0.4716796875,0.07177734375,193.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
194,0.3447265625,0.1552734375,0.07177734375,194.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
195,0.3447265625,0.4716796875,0.39111328125,195.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
196,0.3447265625,0.1552734375,0.39111328125,196.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
197,0.3017578125,0.4716796875,0.39111328125,197.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
198,0.3017578125,0.1552734375,0.07177734375,198.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
199,0.3017578125,0.1552734375,0.39111328125,199.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
200,0.8447265625,0.9716796875,0.32177734375,200.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
201,0.8017578125,0.9716796875,0.32177734375,201.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
202,0.8447265625,0.6552734375,0.32177734375,202.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
203,0.8447265625,0.9716796875,0.14111328125,203.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
204,0.8447265625,0.6552734375,0.14111328125,204.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
205,0.8017578125,0.9716796875,0.14111328125,205.0,9734.0,11366.0,134.0,363.0,196.0,204.0,158.0
206,0.8017578125,0.6552734375,0.32177734375,206.0,9231.0,11869.0,86.0,348.0,219.0,231.0,171.0
207,0.8017578125,0.6552734375,0.14111328125,207.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
208,0.5947265625,0.2216796875,0.19677734375,208.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
209,0.0517578125,0.2216796875,0.19677734375,209.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
210,0.5947265625,0.9052734375,0.19677734375,210.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
211,0.5947265625,0.2216796875,0.01611328125,211.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
212,0.5947265625,0.9052734375,0.01611328125,212.0,9267.0,11833.0,143.0,345.0,196.0,185.0,186.0
213,0.0517578125,0.2216796875,0.01611328125,213.0,9267.0,11833.0,143.0,345.0,196.0,185.0,186.0
214,0.0517578125,0.9052734375,0.19677734375,214.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
215,0.0517578125,0.9052734375,0.01611328125,215.0,9734.0,11366.0,134.0,363.0,196.0,204.0,158.0
216,0.0947265625,0.7216796875,0.44677734375,216.0,9231.0,11869.0,86.0,348.0,219.0,231.0,171.0
217,0.5517578125,0.7216796875,0.44677734375,217.0,11798.0,9302.0,154.0,258.0,186.0,266.0,191.0
218,0.0947265625,0.4052734375,0.44677734375,218.0,11798.0,9302.0,154.0,258.0,186.0,266.0,191.0
219,0.0947265625,0.7216796875,0.26611328125,219.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
220,0.0947265625,0.4052734375,0.26611328125,220.0,9267.0,11833.0,143.0,345.0,196.0,185.0,186.0
221,0.5517578125,0.7216796875,0.26611328125,221.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
222,0.5517578125,0.4052734375,0.44677734375,222.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
223,0.5517578125,0.4052734375,0.26611328125,223.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
224,0.0634765625,0.1904296875,0.02490234375,224.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
225,0.4580078125,0.1904296875,0.02490234375,225.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
226,0.0634765625,0.6240234375,0.02490234375,226.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
227,0.0634765625,0.1904296875,0.12548828125,227.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
228,0.0634765625,0.6240234375,0.12548828125,228.0,11798.0,9302.0,154.0,258.0,186.0,266.0,191.0
229,0.4580078125,0.1904296875,0.12548828125,229.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
230,0.4580078125,0.6240234375,0.02490234375,230.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
231,0.4580078125,0.6240234375,0.12548828125,231.0,9734.0,11366.0,134.0,363.0,196.0,204.0,158.0
232,0.5634765625,0.6904296875,0.27490234375,232.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
233,0.9580078125,0.6904296875,0.27490234375,233.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
234,0.5634765625,0.1240234375,0.27490234375,234.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
235,0.5634765625,0.6904296875,0.37548828125,235.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
236,0.5634765625,0.1240234375,0.37548828125,236.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
237,0.9580078125,0.6904296875,0.37548828125,237.0,11798.0,9302.0,154.0,258.0,186.0,266.0,191.0
238,0.9580078125,0.1240234375,0.27490234375,238.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
